sample,well,date,strain_ID,lysate_mass,condition,strain,promoter,bioreps,BgaH_activity.x,BgaH_activity.y,BgaH_activity
58,E10,20220927,HV389,1.5,-glu,tbsP,EV,1,0.28174727571279246,0.419714385231627,-0.0010909588495784553
59,E11,20220927,HV389,1,-glu,tbsP,EV,2,0.8003638602776545,0.9276795044036442,1.0776720406030746
61,F01,20220927,HV365,5,-glu,tbsP,gapII,1,23.095360874757432,25.6675578444544,26.18658493805046
62,F02,20220927,HV365,5,-glu,tbsP,gapII,2,30.26958650544858,33.98281310643381,35.29869458128079
63,F03,20220927,HV365,1.5,-glu,tbsP,gapII,3,41.9160533910534,66.4733007414042,49.08109916903022
64,F04,20220927,HV405,5,-glu,trmBtbsP,+ctrl,1,11.946783475145544,12.64543775190327,13.695607553366179
65,F05,20220927,HV405,5,-glu,trmBtbsP,+ctrl,2,2.42375578444544,2.430204881325571,2.9322204806687573
66,F06,20220927,HV405,5,-glu,trmBtbsP,+ctrl,3,3.257811986863711,3.4956041946559195,3.6374582027168243
67,F07,20220927,HV390,5,-glu,trmBtbsP,EV,1,0.1472380206000896,0.1654914912673532,0.21116584564860433
68,F08,20220927,HV390,5,-glu,trmBtbsP,EV,2,0.12596618898343007,0.11605239587998208,0.21715666517390658
69,F09,20220927,HV390,5,-glu,trmBtbsP,EV,3,0.1129146141215107,0.17552843708016125,0.1946805493357217
71,F11,20220927,HV367,5,-glu,trmBtbsP,gapII,2,24.53177675772504,26.871957008508744,28.71215554560383
72,F12,20220927,HV367,3,-glu,trmBtbsP,gapII,3,6.722493406976167,12.34816514902722,11.76535179380007
