"","deltadelta_a_glu_S16","deltadelta_a_noglu_S35","deltadelta_b_glu_S53","deltadelta_b_noglu_S36","deltadelta_c_glu_S43","deltadelta_d_glu_S44","deltadelta_d_noglu_S5","tbsP_a_glu_S33","tbsP_a_noglu_S24","tbsP_b_glu_S2","tbsP_b_noglu_S30","tbsP_c_glu_S51","tbsP_c_noglu_S15","tbsP_d_glu_S52","tbsP_d_noglu_S31","trmB_a_glu_S4","tbsP_e_noglu_S50","tbsP_e_glu_S3","trmB_a_noglu_S32","trmB_b_noglu_S25","trmB_c_glu_S34","trmB_c_noglu_S1","WT_a_glu_S39","WT_a_noglu_S37","WT_b_glu_S13","WT_b_noglu_S17","WT_c_glu_S18","WT_c_noglu_S6","WT_d_glu_S19","WT_d_noglu_s38","dpyrE2_4hpfe_2_S2","dpyrE2_4hpfe_4_S16","dtbsP_4hpfe_2_S38","dtbsP_4hpfe_5_S43","dtbsP_4hpfe_6_S49","dtrmB_4hmfe_1_S24","dtrmB_4hmfe_5_S30","dtrmB_4hmfe_6_S36","dtrmB_4hpfe_1_S21","dtrmB_4hpfe_5_S27","dtrmB_4hpfe_6_S33"
"HVO_RS04760",1033.66172372136,121.413120758586,1208.67539014973,162.008464240153,1574.39164215715,1300.7454641945,101.685088256954,1247.27123281564,383.843010460527,1228.77103956586,409.880703197446,1541.38001652755,272.902619690476,1614.59735837447,427.774398235261,1063.91698495704,382.301920736895,1511.11169586812,638.655063733428,249.412347902246,1050.84978390543,400.932826130857,864.353302592653,482.200036677366,1972.62953680231,668.867581675251,867.807896596674,459.086363565031,759.556473925287,454.382892144879,68.8699124279087,102.343550426592,115.850078956662,99.1776358720715,124.617052218832,49.4330123474747,109.113078132439,120.287242615863,219.759575402302,137.842962263839,281.982349337376
"HVO_RS04765",1496.65603747155,1159.81481145701,1635.60805539466,1298.78293957888,1729.32453892514,1596.3234218169,1178.40663026751,2503.47991873267,1510.25348083038,1756.35702656178,1508.3609877666,1042.08160311334,1488.40222421663,1159.60482460297,1418.95897951209,2602.37955919291,1427.79553221775,1417.02207873409,713.904451907457,706.193247917502,1572.1112456525,621.40331863169,1839.97459213457,1151.63336956844,679.402206445838,1164.51945553998,2238.030891223,1864.5969227872,1830.11244898534,1177.83173218731,2289.40284646715,2173.29539435292,1985.74275961654,1952.89781180825,1955.42714917848,1589.12595575852,1869.47073866912,2101.86129202456,4953.80617068157,2654.75334730356,2797.89153286974
"HVO_RS04770",11827.1205263297,6942.11468758465,13491.0722217399,7456.91473114313,13221.6999991866,12606.6023432516,7635.88489854791,16528.3299354964,9843.33609647242,14084.8001638635,8600.78762836678,9471.13957762546,8541.41881755048,11013.3238633278,8493.68941186449,17544.9767547929,8960.74845513463,12738.5985956032,5097.66368091757,6288.75420067806,13286.3384722624,4944.83818894724,13230.5742097622,6981.12718739682,7325.72813906816,7248.06507227913,13930.6004453677,10693.1808374993,12167.6254526808,7845.67793770158,7711.34322488251,7952.69588903105,9009.1537963642,8500.4250091081,7328.54324112448,4207.62169804681,4335.42630446224,4482.28251431743,8438.7676954484,8334.39392206359,8681.92322237631
"HVO_RS04775",2174.22745011926,2065.62059395857,2213.41789554169,1839.11284545246,2243.10936570725,2238.09200103816,1664.97452921667,2522.34787528004,1901.94604160707,2291.70163101352,1787.82510358304,1935.84905854065,1815.8853678452,2011.15048413862,1730.35947954076,2968.19628754489,1738.59823877103,2191.63918531168,2722.48427470655,2618.11704626529,2493.89469318286,2896.76094973101,2626.95611572277,2457.06551816957,2272.15729216582,1968.36031602863,2535.75835672206,2333.77309654048,2503.17793738794,1989.4843101167,1632.00822783711,1553.21388294475,1958.59039736107,1810.44266210109,1520.59317973404,2058.73957305953,1636.69617198658,1422.34388637003,2520.85500042125,1968.0911834337,2182.2300701498
"HVO_RS04780",12770.0292118076,21697.003941878,10856.5246292187,18575.7637992453,11649.5867819819,10884.7595147731,20216.3260045812,12843.1201066916,17733.7040742827,12029.7363652525,16588.9899148639,8723.35672829749,16887.0408349421,10959.0586987496,19883.8850211606,17193.3862325435,18337.3596866434,12791.3212258938,26123.114525338,20983.4171323701,15178.2011577086,23409.0291265363,14690.3217736463,19739.7389436738,10329.8674606135,21205.8018046817,18391.4375278734,14359.8178599067,15825.5500584833,18382.9063012261,8980.21918719065,8942.0168764881,12788.7626223253,11830.9903446666,9891.14709153939,9856.07031480973,9492.83779752219,8251.28278294781,8828.66371632345,10939.3706441052,11119.5039755372
"HVO_RS04785",7031.8222767741,7708.13562710757,6670.09752341889,6824.26715290924,6588.06575006857,6810.44006466971,6613.33204841256,7836.16026922629,5866.75390630262,7134.04875062864,5356.02293432736,5604.87705757978,5505.702057565,6269.71363050272,5606.81415773271,9916.68181107519,5806.75760905524,7593.68099662765,5538.54791675772,5996.58545027828,8804.82219890338,6740.94915101966,9039.97128406365,5271.5088755407,6034.86394682107,5998.06254015733,10041.5354272863,7236.41186700748,8612.29387757805,7003.73316696254,6903.68697913703,6740.62717417494,8042.52970006955,7535.69709653431,6986.50920418343,7272.46846359024,6581.33716268828,6495.51110125661,6534.65730986587,7933.62827251872,7995.76617232203
"HVO_RS04790",1603.56004014809,1055.97464238717,1590.84230020393,1001.91826767514,1614.26407882538,1488.01232090732,810.629722272727,2086.39877400132,1236.30417479618,1728.23203828443,1181.20166285082,1482.36496299803,1002.37565391073,1679.71555586837,1086.69143566706,2269.07987336109,1252.69541584971,1844.48094278266,634.796120750144,660.586418586805,1796.10379071634,727.807996479582,1797.97276924644,878.956307225462,1764.0825986498,1147.27286991383,2216.03965797591,1495.30986989753,1830.57250741897,1306.12807820469,1538.09471088996,1739.84035725206,1694.30740474119,1498.48391653984,1490.10177334007,1109.33495356245,1025.66293444493,960.187638424873,1811.95314428479,1596.68097955613,1688.76095880939
"HVO_RS04795",4806.8346527221,4842.14696077991,5729.18766894704,4049.30653078461,4943.04293438484,5074.42569027783,4159.58533925877,6530.29906607934,4351.00574025093,5753.01484349226,4090.60941791052,4505.33342866139,4018.1661908712,4884.69966072855,4112.41278903842,6259.53068513405,4205.32112810584,5157.08435981186,4776.40667755922,4720.30683572707,5401.63434880709,4748.20234428433,4874.42207728082,3747.63788135691,3087.43993990082,4169.17461223587,4414.31716602148,5174.05466453073,4746.42285977419,4381.67659523238,4397.23956016981,4288.39543650248,3690.91110925992,3727.27587904676,3902.90001842809,2653.3896333571,2755.10522284408,2728.62113512826,4200.95239946465,4663.68688992654,5005.18670073842
"HVO_RS04800",3247.11294460683,2632.74767118617,3276.1900835883,2345.95496821495,3036.001249167,3189.61008379522,2790.16279553661,4025.82609700208,2285.00409703598,3325.53740700185,2182.80105393695,2291.49240744222,2167.62652211292,2834.31128835642,2158.13387777602,4455.85098284299,2277.76068042097,3272.04754757487,3833.85985389221,4409.61031091171,3474.79884963342,4050.18765760216,2971.07631377117,2357.5049558972,2952.150283139,2495.50595494982,3436.55310318936,3048.13165786804,2745.168673478,2359.227251764,5513.76692831924,5339.92524872864,4498.24134698916,4039.234624608,4384.13395412422,3146.26584470398,3049.71053380167,3019.84288040878,4566.74575723106,4986.59679226683,4438.08886484881
"HVO_RS04805",2873.33348201116,1013.63980422793,2903.14212366554,1160.30643103841,3140.80879698064,3381.93820690569,1251.58188069541,4055.61760734003,1778.70810164326,3105.38663669289,1775.90130130821,1938.17860012734,1621.82128273197,2535.43545883312,1606.76237385927,4542.22437703721,1926.10128004848,2885.14455298062,990.783610958052,1231.3843919288,3381.53801302692,868.262171238799,3108.87176780768,1417.62352847522,2201.26314888451,1475.70784835975,2852.0937888148,3351.83494453414,2413.46654282983,1499.4635440781,6870.29550644472,6887.11892282477,3531.61725069451,3314.33626787032,5439.40175801985,1850.83013877457,1889.4748029934,1605.94020404687,3399.89330203045,5051.68930222476,5034.95150427958
"HVO_RS04810",916.759504967159,412.165594154146,935.106886206376,443.486857417179,1013.89910384939,880.660353190049,433.349535001599,1302.88205211315,507.080950424337,964.008218885925,438.199733600179,999.373340690659,558.800602223356,896.627488569896,356.344902094664,1202.11441566779,415.133192555903,956.307401732963,813.272233727009,552.982805634694,916.787331283584,747.386457203594,774.454664130331,604.050277070414,1017.33095608672,560.888958624538,852.583196656381,673.999320574595,786.699921509534,473.09277593908,680.351256106008,652.189291934164,941.281891522882,928.663317711215,695.99949377539,274.789392166844,356.436055232634,384.075055369949,1008.05843942604,813.018212611716,844.380479404697
"HVO_RS04815",152.280521798236,186.912304325717,137.613247438172,171.964291651559,109.364397718586,125.51940666157,166.30738733614,109.235537905828,129.517580216742,135.775805476891,158.735617783738,158.408827895023,154.21163906319,143.593973960914,150.884778364407,157.504424707107,160.50844000404,124.100960530232,160.146133806267,245.849314360785,212.334940488024,155.776448369314,204.114121754616,179.060414236125,272.351667105679,184.463481044968,221.603965797591,189.688431538958,231.409392116547,155.024751437665,1414.96365533703,1430.80296968941,1172.98204943621,1085.5443053634,1336.31902804875,1743.24064131242,1749.44635272344,1787.42621922169,1671.59057676977,994.25618151417,1033.93528090371
"HVO_RS04820",5146.00490581817,6441.28556445549,3916.17458372245,5689.30282800895,3616.99961204699,2828.23566300344,6014.62545400245,3799.41061843363,4573.93296923005,3921.98112391819,3961.68330581386,3490.42981072612,5741.35130377392,2778.37642640653,4160.5675055377,4033.12943008069,3890.87050246157,3119.55747842661,5938.91325127339,6545.29261566322,4788.77742253578,6309.37177766861,5012.21753131733,5307.17236053379,2814.4974882678,3650.27734035328,5479.20034517861,3354.86188759061,5308.61426567164,4648.06970258791,2245.57653855848,2408.08353944922,1893.42472794795,1893.391230285,2000.50140210869,4933.1238498524,4946.4595420039,4060.22201391089,2498.17014102488,1786.85321453124,1618.26537147505
"HVO_RS04825",15263.4304828676,17706.3463674708,15946.5567934981,15199.8332315594,17183.8809915328,13830.4165582019,15567.3217825903,18403.2089860983,14873.3279390717,16705.2732095675,14228.8223020888,17101.1647879024,24802.9495210115,11313.0345415369,14594.8919923231,19278.5415841499,11513.5622350171,12003.7262410909,38255.6312647815,36596.6301110507,18029.318162536,37909.0073862242,17130.1118715869,22563.8411615639,6896.22778768892,15458.9395334271,19101.0777084237,21385.3526939799,16357.8376661947,23642.1655410912,23676.6411058977,24586.5329377765,21560.7857883251,23467.2318770753,25388.7358196047,26638.5780067774,29351.4180176261,28050.1408570185,55472.9880463901,19513.7134264058,18759.6590739726
"HVO_RS04830",306.868324229779,722.887330832368,300.096358871195,1217.32616984919,234.677770104466,217.63445509869,765.964309673878,400.199288873171,5373.01719141577,340.409340874205,5650.39180298734,300.510864683205,3145.7441653845,303.884921638214,4690.26938702977,650.340850403537,5267.59516740531,319.580251300074,414.836370702982,543.718918426896,823.526494677079,608.634757289943,1299.10901318913,2449.63562546268,544.112549684014,2984.40916487388,2331.91654085481,3780.65187753444,1823.6716309145,3248.39220541221,2836.18821180388,2795.38364204397,1355.80795528969,1123.4121299691,1645.21023195287,1929.34139367938,2096.78965144504,2344.54607975832,2665.47097907308,1543.0753831202,1431.8437071909
"HVO_RS04835",3871.61690268849,3846.08010824072,2748.94896689747,3024.761382629,3274.09665670017,3129.88714030302,2741.69607122722,3196.62905926238,3394.93051174188,3209.15814516451,2963.06486529645,2778.36659906075,3332.87739031511,2307.52176760446,3047.39097579604,4409.10773422023,3025.58409407615,3282.592073633,2421.48672201043,3065.63405907275,3450.65095444066,3198.09899739624,4556.82934631966,3980.93651235336,3075.0334648266,3420.82276637051,4437.15421593192,4080.31924012525,4648.43041341072,3754.45001470298,5294.63538877589,5091.08994965222,3828.48307802095,3747.11140622118,4699.65372463573,2455.6575839672,2522.33065616155,2808.81263020551,4453.32146024923,4819.3983843357,4908.05944707777
