WT_glu,trmB_glu,tbsP_glu,DD_glu,WT_noglu,trmB_noglu,tbsP_noglu,DD_noglu,locus_tag,log2FoldChange.x,old_locus_tag,model,log2FoldChange.y,cluster
0.5715698276308286,-0.0382008772959198,-0.8514510609107182,-1.677770142882481,0.7819104141163851,-0.00939827980947269,1.553002709788224,-0.3296625906368487,HVO_RS04830,NA,HVO_0026,interaction,-2.5479621764845746,1
-1.5727192402311043,0.3460761418917485,0.4844305381387331,1.070407131256536,-1.576821611893064,0.30393836451203987,0.49859171660549206,0.4460969597196174,HVO_RS04865,2.671390735063559,HVO_0034,genotype,NA,2
-0.9852605411743393,-0.0523344485667886,1.0946501979591625,1.0135794102142344,-1.4607070060141418,-0.9065593541630289,0.6971970426377331,0.5994346991071696,HVO_RS04900,3.508052053537545,HVO_0041,genotype,NA,3
-1.0264910799429736,-0.04071770556210879,1.0780729582975344,0.9764938431968955,-1.4887305812557232,-0.840524263664498,0.7244893843637488,0.6174074445671279,HVO_RS04905,3.5639004944111687,HVO_0042,genotype,NA,3
-0.9971477697485436,-0.1320539542039558,1.048992569023756,1.033404720396493,-1.4232961948517133,-0.9123198855420181,0.7473550728109838,0.6350654421149938,HVO_RS04910,3.558113335584798,HVO_0043,genotype,NA,3
-1.0223168769406843,-0.03645646001146328,1.080086788842999,1.005583804813174,-1.5056143761005718,-0.8154142144505692,0.7044674283893188,0.5896639054577988,HVO_RS04915,3.550424059759231,HVO_0044,genotype,NA,3
-1.0453406863418835,0.04130462451363666,1.0153656934827908,0.9524577616899539,-1.517083011344621,-0.8365202754740924,0.6824108530678006,0.7074050404064158,HVO_RS04920,3.511560496058721,HVO_0045,genotype,NA,3
-1.0851578930762114,-0.0910177350639501,0.9582450988943283,1.0236134205666085,-1.4720401861370536,-0.7883981532211383,0.6999975279185463,0.7547579201188711,HVO_RS04925,3.478800714043509,HVO_0046,genotype,NA,3
-1.0546338628256533,-0.14370714519967398,0.8456768201410987,1.2746735323585818,-1.1091171627081906,-1.171667334220377,0.7023396286854346,0.6564355237687783,HVO_RS04930,3.036203015724146,HVO_0047,genotype,NA,3
0.2924952554262981,0.5412150812994253,1.2480281203204162,1.104869328522842,-0.2926039833626972,-1.121639347441989,-0.20467927726367166,-1.5676851775006186,HVO_RS06315,NA,HVO_0335,interaction,2.7927116338277616,4
-0.6377360220353447,-0.14108591665632972,0.7001372209754668,0.8250591556625928,-1.0511944537527782,-1.4391478069653696,1.4659555935628943,0.278012229208871,HVO_RS06840,2.4308454804186974,HVO_0445,genotype,NA,3
-0.6377928220961063,-0.02375223812477823,0.717342651943202,0.8247645290308948,-1.1238205437863582,-1.4207359682923975,1.4369505679175487,0.22704382340799603,HVO_RS06845,2.500148875047919,HVO_0446,genotype,NA,3
-0.7636531988305666,0.09592490024825379,0.7127862902313917,0.6922735046272354,-1.3003427219960069,-1.2204255098168493,1.4616623958039987,0.3217743397325446,HVO_RS06850,2.473008630707376,HVO_0447,genotype,NA,3
-0.8384672040086787,-1.012492633626366,0.32306576106060747,0.38579363471644607,0.33629722531863004,-1.4239955895935712,1.5574841854765398,0.6723146206563905,HVO_RS07010,NA,HVO_0478,interaction,4.2176159718709405,5
0.29381763052764376,-0.8293079354077303,-1.2100253520190862,-1.360533651275937,0.9928520267951824,0.1821749859814028,0.8485924704359207,1.0824298249626059,HVO_RS07620,NA,HVO_0607,interaction,-2.4966281343964845,1
-0.10335334853142883,-0.8549170577967226,-1.2097133830504367,-1.0964965181145152,0.7860242535914793,0.06366989963423236,1.0412007826481693,1.3735853716192203,HVO_RS07635,NA,HVO_0610,interaction,-2.6319113808016636,1
0.3288360096858235,-0.7917079505477855,-1.0695213329624809,-1.4256958239156097,0.7775206453826311,0.012921039530085214,1.3431767238954364,0.8244706889318993,HVO_RS07905,NA,HVO_0666,interaction,-2.3824794489453263,1
0.23066931451837175,-0.400474155782653,-1.1428422326207948,-1.5586421885623274,1.0085526262797846,-0.13741170157212004,1.0855177615946627,0.9146305761450731,HVO_RS07920,NA,HVO_0669,interaction,-2.901738259670983,1
0.5047099766009272,-0.04144301077741405,-0.6001343446874435,-0.9291714926073171,0.6050709941591559,-1.2533732789589453,1.8851518857491956,-0.17081072947816134,HVO_RS07995,NA,HVO_0685,interaction,-2.482632871369617,1
0.481359097228866,0.5115144265437007,-0.7900665247805425,-1.358182575251675,0.5170231308042577,-0.6784296063885719,1.7636611863389304,-0.446879134494968,HVO_RS08000,NA,HVO_0686,interaction,-2.880658882379664,1
-1.0406401979005235,-0.9830151548369872,0.26662838986993753,0.3365377106459347,-0.013290958545366676,-1.1712178812596592,1.2754310740700903,1.3295670179565706,HVO_RS08595,NA,HVO_0812,interaction,2.2215992472232133,5
0.42724907517012833,-0.307909595304762,-1.0030943854180507,-1.6818753969177218,0.7813445684058169,-0.2795340334575623,1.218232299515664,0.8455874680064848,HVO_RS08985,NA,HVO_0894,interaction,-3.0064891564943665,1
-1.136234064837959,-0.6350208683333267,0.429065649399351,0.7170349673810804,-1.1114081248113583,-0.6747810446943728,1.1362527647152187,1.2750907211813658,HVO_RS08990,3.433775423001123,HVO_0895,genotype,NA,3
0.20273215125842414,-0.4871880878135522,-1.0556123040998875,-1.5725275939585228,0.9120796246754561,-0.10112798595755408,1.2555375068058172,0.8461066890898168,HVO_RS08995,NA,HVO_0896,interaction,-2.607941811221178,1
