Label,Info,variable,strain,name,media,condition,techrep,biorep
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_pyrE_8,H26,pyrE,HvCA_ura,glu05,2,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_pyrE_9,H26,pyrE,HvCA_ura,glu05,3,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_tbsP_1,AKS180,tbsP,HvCA_ura,glu05,1,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_tbsP_2,AKS180,tbsP,HvCA_ura,glu05,2,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_tbsP_3,AKS180,tbsP,HvCA_ura,glu05,3,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_tbsP_4,AKS180,tbsP,HvCA_ura,glu05,1,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_tbsP_5,AKS180,tbsP,HvCA_ura,glu05,2,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_tbsP_6,AKS180,tbsP,HvCA_ura,glu05,3,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_tbsP_7,AKS180,tbsP,HvCA_ura,glu05,1,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_tbsP_8,AKS180,tbsP,HvCA_ura,glu05,2,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_tbsP_9,AKS180,tbsP,HvCA_ura,glu05,3,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmB_1,AKS154,trmB,HvCA_ura,glu05,1,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmB_2,AKS154,trmB,HvCA_ura,glu05,2,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmB_3,AKS154,trmB,HvCA_ura,glu05,3,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmB_4,AKS154,trmB,HvCA_ura,glu05,1,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Glu05_trmB_5,AKS154,trmB,HvCA_ura,glu05,2,2
