Label,Info,variable,strain,name,media,condition,techrep,biorep
,,Blank,,,,,,
,,99,blank,blank,HvCa+ura50,,,
,,100,blank,blank,HvCa+ura50+nov10,glu01,,
,,101,blank,blank,HvCa+ura50,,,
,,102,blank,blank,HvCa+ura50+nov10,glu01,,
,,103,HV35,parent,HvCa+ura50,glu01,2,1
,,104,HV187,trmB-HA,HvCa+ura50,,1,3
,,105,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,2,3
,,106,HV208,_trmB,HvCa+ura50,glu01,3,2
,,107,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,2,1
,,108,HV35,parent,HvCa+ura50,,2,3
,,109,blank,blank,HvCa+ura50+nov10,,,
,,110,blank,blank,HvCa+ura50+nov10,glu01,,
,,111,blank,blank,HvCa+ura50+nov10,,,
,,112,HV187,trmB-HA,HvCa+ura50,,3,1
,,113,HV287,_trmB+p,HvCa+ura50+nov10,,2,2
,,114,HV35,parent,HvCa+ura50,glu01,3,1
,,115,HV187,trmB-HA,HvCa+ura50,glu01,2,3
,,116,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,2,1
,,117,HV35,parent,HvCa+ura50,glu01,2,3
,,118,HV284,parent+p,HvCa+ura50+nov10,glu01,1,3
,,119,HV284,parent+p,HvCa+ura50+nov10,,1,2
,,120,blank,blank,HvCa+ura50+nov10,glu01,,
,,121,blank,blank,HvCa+ura50+nov10,,,
,,122,HV208,_trmB,HvCa+ura50,,2,2
,,123,HV35,parent,HvCa+ura50,,3,3
,,124,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,3,3
,,125,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,3,2
,,126,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,2,2
,,127,HV287,_trmB+p,HvCa+ura50+nov10,,2,1
,,128,HV208,_trmB,HvCa+ura50,glu01,3,3
,,129,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,2,3
,,130,HV208,_trmB,HvCa+ura50,,3,2
,,131,HV208,_trmB,HvCa+ura50,glu01,1,1
,,132,HV187,trmB-HA,HvCa+ura50,,2,2
,,133,HV208,_trmB,HvCa+ura50,,2,1
,,134,HV287,_trmB+p,HvCa+ura50+nov10,glu01,3,3
,,135,HV187,trmB-HA,HvCa+ura50,glu01,3,3
,,136,HV285,parent+ptrmB,HvCa+ura50+nov10,,1,1
,,137,HV208,_trmB,HvCa+ura50,,3,1
,,138,HV208,_trmB,HvCa+ura50,,2,3
,,139,HV284,parent+p,HvCa+ura50+nov10,glu01,2,3
,,140,blank,blank,HvCa+ura50+nov10,,,
,,141,blank,blank,HvCa+ura50+nov10,glu01,,
,,142,HV287,_trmB+p,HvCa+ura50+nov10,,3,2
,,143,HV187,trmB-HA,HvCa+ura50,glu01,3,2
,,144,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,2,3
,,145,HV285,parent+ptrmB,HvCa+ura50+nov10,,2,1
,,146,HV287,_trmB+p,HvCa+ura50+nov10,,2,3
,,147,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,3,1
,,148,HV287,_trmB+p,HvCa+ura50+nov10,glu01,3,2
,,149,HV284,parent+p,HvCa+ura50+nov10,glu01,2,2
,,150,HV35,parent,HvCa+ura50,glu01,3,3
,,151,HV208,_trmB,HvCa+ura50,,3,3
,,152,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,3,3
,,153,HV284,parent+p,HvCa+ura50+nov10,,2,3
,,154,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,3,1
,,155,HV287,_trmB+p,HvCa+ura50+nov10,glu01,3,1
,,156,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,1,2
,,157,HV187,trmB-HA,HvCa+ura50,glu01,3,1
,,158,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,2,2
,,159,HV284,parent+p,HvCa+ura50+nov10,glu01,3,2
,,160,blank,blank,HvCa+ura50+nov10,,,
,,161,blank,blank,HvCa+ura50+nov10,glu01,,
,,162,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,3,1
,,163,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,2,2
,,164,HV284,parent+p,HvCa+ura50+nov10,,3,1
,,165,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,3,3
,,166,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,3,1
,,167,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,3,2
,,168,HV285,parent+ptrmB,HvCa+ura50+nov10,,3,1
,,169,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,3,2
,,170,HV35,parent,HvCa+ura50,,2,1
,,171,HV208,_trmB,HvCa+ura50,glu01,2,1
,,172,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,3,2
,,173,HV187,trmB-HA,HvCa+ura50,,3,2
,,174,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,3,3
,,175,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,3,3
,,176,blank,blank,HvCa+ura50+nov10,,,
,,177,HV285,parent+ptrmB,HvCa+ura50+nov10,,1,3
,,178,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,3,1
,,179,HV208,_trmB,HvCa+ura50,glu01,3,1
,,180,blank,blank,HvCa+ura50+nov10,,,
,,181,blank,blank,HvCa+ura50+nov10,glu01,,
,,182,HV285,parent+ptrmB,HvCa+ura50+nov10,,2,3
,,183,HV284,parent+p,HvCa+ura50+nov10,,3,3
,,184,HV287,_trmB+p,HvCa+ura50+nov10,,3,1
,,185,HV285,parent+ptrmB,HvCa+ura50+nov10,,3,3
,,186,HV284,parent+p,HvCa+ura50+nov10,,2,2
,,187,HV187,trmB-HA,HvCa+ura50,,2,3
,,188,HV284,parent+p,HvCa+ura50+nov10,glu01,3,3
,,189,HV287,_trmB+p,HvCa+ura50+nov10,,3,3
,,190,blank,blank,HvCa+ura50+nov10,glu01,,
,,191,blank,blank,HvCa+ura50+nov10,,,
,,192,blank,blank,HvCa+ura50+nov10,glu01,,
,,193,HV187,trmB-HA,HvCa+ura50,,3,3
,,194,HV284,parent+p,HvCa+ura50+nov10,,3,2
,,195,HV285,parent+ptrmB,HvCa+ura50+nov10,,3,2
,,196,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,3,2
,,197,HV35,parent,HvCa+ura50,,3,1
,,198,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,3,3
,,199,blank,blank,HvCa+ura50+nov10,glu01,,
,,200,blank,blank,HvCa+ura50+nov10,,,
