date,filename,condition,plate,WT,strain,template_colony,area_label,area_in,notes
8/26/2022,tbsP2noglu_analyzed,tbsP+noglu,2,H26,tbsP,3,5,0.213,
8/26/2022,tbsP2noglu_analyzed,tbsP+noglu,2,H26,WT,1,3,0.143,
8/26/2022,tbsP2noglu_analyzed,tbsP+noglu,2,H26,WT,2,6,0.084,
8/26/2022,tbsP2noglu_analyzed,tbsP+noglu,2,H26,WT,3,4,0.071,
8/26/2022,tbsP3glu_analyzed,tbsP+glu,3,H26,tbsP,1,2,0.158,
8/26/2022,tbsP3glu_analyzed,tbsP+glu,3,H26,tbsP,2,1,0.156,
8/26/2022,tbsP3glu_analyzed,tbsP+glu,3,H26,tbsP,3,5,0.118,
8/26/2022,tbsP3glu_analyzed,tbsP+glu,3,H26,WT,1,3,0.285,includes plate number in area
8/26/2022,tbsP3glu_analyzed,tbsP+glu,3,H26,WT,2,6,0.123,
8/26/2022,tbsP3glu_analyzed,tbsP+glu,3,H26,WT,3,4,0.17,
8/26/2022,tbsP3noglu_analyzed,tbsP+noglu,3,H26,tbsP,1,2,0.277,
8/26/2022,tbsP3noglu_analyzed,tbsP+noglu,3,H26,tbsP,2,1,0.295,
8/26/2022,tbsP3noglu_analyzed,tbsP+noglu,3,H26,tbsP,3,5,0.235,
8/26/2022,tbsP3noglu_analyzed,tbsP+noglu,3,H26,WT,1,3,0.201,
8/26/2022,tbsP3noglu_analyzed,tbsP+noglu,3,H26,WT,2,6,0.179,
8/26/2022,tbsP3noglu_analyzed,tbsP+noglu,3,H26,WT,3,4,0.156,
8/26/2022,trmB1glu_analyzed,trmB+glu,1,H26,trmB,1,2,0.205,
8/26/2022,trmB1glu_analyzed,trmB+glu,1,H26,trmB,2,1,0.207,
8/26/2022,trmB1glu_analyzed,trmB+glu,1,H26,trmB,3,5,0.211,
8/26/2022,trmB1glu_analyzed,trmB+glu,1,H26,WT,1,3,0.244,
8/26/2022,trmB1glu_analyzed,trmB+glu,1,H26,WT,2,6,0.177,
8/26/2022,trmB1glu_analyzed,trmB+glu,1,H26,WT,3,4,0.138,
8/26/2022,trmB1noglu_analyzed,trmB+noglu,1,H26,trmB,1,2,0.148,
8/26/2022,trmB1noglu_analyzed,trmB+noglu,1,H26,trmB,2,1,0.153,
8/26/2022,trmB1noglu_analyzed,trmB+noglu,1,H26,trmB,3,6,0.157,
8/26/2022,trmB1noglu_analyzed,trmB+noglu,1,H26,WT,1,3,0.357,
8/26/2022,trmB1noglu_analyzed,trmB+noglu,1,H26,WT,2,5,0.332,
8/26/2022,trmB1noglu_analyzed,trmB+noglu,1,H26,WT,3,4,0.15,
8/26/2022,trmB2glu_analyzed,trmB+glu,2,H26,trmB,1,1,0.2,
8/26/2022,trmB2glu_analyzed,trmB+glu,2,H26,trmB,2,2,0.283,
8/26/2022,trmB2glu_analyzed,trmB+glu,2,H26,trmB,3,6,0.121,
8/26/2022,trmB2glu_analyzed,trmB+glu,2,H26,WT,1,3,0.344,
8/26/2022,trmB2glu_analyzed,trmB+glu,2,H26,WT,2,5,0.168,
8/26/2022,trmB2glu_analyzed,trmB+glu,2,H26,WT,3,4,0.088,
8/26/2022,trmB2noglu_analyzed,trmB+noglu,2,H26,trmB,1,1,0.174,
8/26/2022,trmB2noglu_analyzed,trmB+noglu,2,H26,trmB,2,2,0.242,
8/26/2022,trmB2noglu_analyzed,trmB+noglu,2,H26,trmB,3,6,0.177,
8/26/2022,trmB2noglu_analyzed,trmB+noglu,2,H26,WT,1,4,0.37,
8/26/2022,trmB2noglu_analyzed,trmB+noglu,2,H26,WT,2,5,0.304,
8/26/2022,trmB2noglu_analyzed,trmB+noglu,2,H26,WT,3,3,0.212,
8/26/2022,trmB3glu_analyzed,trmB+glu,3,H26,trmB,1,1,0.309,
8/26/2022,trmB3glu_analyzed,trmB+glu,3,H26,trmB,2,2,0.345,
8/26/2022,trmB3glu_analyzed,trmB+glu,3,H26,trmB,3,6,0.211,
8/26/2022,trmB3glu_analyzed,trmB+glu,3,H26,WT,1,4,0.234,
8/26/2022,trmB3glu_analyzed,trmB+glu,3,H26,WT,2,5,0.132,
8/26/2022,trmB3glu_analyzed,trmB+glu,3,H26,WT,3,3,0.135,
8/26/2022,trmB3noglu_analyzed,trmB+noglu,3,H26,trmB,1,2,0.143,
8/26/2022,trmB3noglu_analyzed,trmB+noglu,3,H26,trmB,2,1,0.162,
8/26/2022,trmB3noglu_analyzed,trmB+noglu,3,H26,trmB,3,5,0.136,
8/26/2022,trmB3noglu_analyzed,trmB+noglu,3,H26,WT,1,3,0.155,
8/26/2022,trmB3noglu_analyzed,trmB+noglu,3,H26,WT,2,6,0.067,
8/26/2022,trmB3noglu_analyzed,trmB+noglu,3,H26,WT,3,4,0.065,
9/12/2022,dd1noglu_analyzed,trmBtbsP+noglu,4,H26,trmBtbsP,1,2,0.378,
9/12/2022,dd1noglu_analyzed,trmBtbsP+noglu,4,H26,trmBtbsP,2,1,0.608,
9/12/2022,dd1noglu_analyzed,trmBtbsP+noglu,4,H26,trmBtbsP,3,5,0.183,
9/12/2022,dd1noglu_analyzed,trmBtbsP+noglu,4,H26,WT,1,3,0.1,
9/12/2022,dd1noglu_analyzed,trmBtbsP+noglu,4,H26,WT,2,6,0.094,
9/12/2022,dd1noglu_analyzed,trmBtbsP+noglu,4,H26,WT,3,4,0.152,
9/12/2022,dd2noglu_analyzed,trmBtbsP+noglu,5,H26,trmBtbsP,1,2,0.432,
9/12/2022,dd2noglu_analyzed,trmBtbsP+noglu,5,H26,trmBtbsP,2,1,0.409,
9/12/2022,dd2noglu_analyzed,trmBtbsP+noglu,5,H26,trmBtbsP,3,6,0.093,
9/12/2022,dd2noglu_analyzed,trmBtbsP+noglu,5,H26,WT,1,4,0.086,
9/12/2022,dd2noglu_analyzed,trmBtbsP+noglu,5,H26,WT,2,5,0.108,
9/12/2022,dd2noglu_analyzed,trmBtbsP+noglu,5,H26,WT,3,3,0.077,
9/12/2022,dd3noglu_analyzed,trmBtbsP+noglu,6,H26,trmBtbsP,1,5,0.5,flipped
9/12/2022,dd3noglu_analyzed,trmBtbsP+noglu,6,H26,trmBtbsP,2,6,0.364,flipped
9/12/2022,dd3noglu_analyzed,trmBtbsP+noglu,6,H26,trmBtbsP,3,1,0.177,flipped
9/12/2022,dd3noglu_analyzed,trmBtbsP+noglu,6,H26,WT,1,4,0.093,flipped
9/12/2022,dd3noglu_analyzed,trmBtbsP+noglu,6,H26,WT,2,2,0.081,flipped
9/12/2022,dd3noglu_analyzed,trmBtbsP+noglu,6,H26,WT,3,3,0.115,flipped
9/12/2022,tbsP1glu_analyzed,tbsP+glu,4,H26,tbsP,1,2,0.211,
9/12/2022,tbsP1glu_analyzed,tbsP+glu,4,H26,tbsP,2,1,0.407,
9/12/2022,tbsP1glu_analyzed,tbsP+glu,4,H26,tbsP,3,5,0.429,
9/12/2022,tbsP1glu_analyzed,tbsP+glu,4,H26,WT,1,3,0.108,
9/12/2022,tbsP1glu_analyzed,tbsP+glu,4,H26,WT,2,6,0.131,
9/12/2022,tbsP1glu_analyzed,tbsP+glu,4,H26,WT,3,4,0.29,
9/12/2022,tbsP1noglu_analyzed,tbsP+noglu,4,H26,tbsP,1,4,0.479,flipped
9/12/2022,tbsP1noglu_analyzed,tbsP+noglu,4,H26,tbsP,2,5,0.478,flipped
9/12/2022,tbsP1noglu_analyzed,tbsP+noglu,4,H26,tbsP,3,3,0.06,flipped
9/12/2022,tbsP1noglu_analyzed,tbsP+noglu,4,H26,WT,1,1,0.11,flipped
9/12/2022,tbsP1noglu_analyzed,tbsP+noglu,4,H26,WT,2,2,0.09,flipped
9/12/2022,tbsP1noglu_analyzed,tbsP+noglu,4,H26,WT,3,6,0.067,flipped
9/12/2022,tbsP2glu_analyzed,tbsP+glu,5,H26,tbsP,1,2,0.262,
9/12/2022,tbsP2glu_analyzed,tbsP+glu,5,H26,tbsP,2,1,0.389,
