time ,pyrE,AKS182,AKS183,AKS184,AKS185
43,0.837214286,0.048214286,0.059214286,0.043214286,0.044214286
43.5,0.844614286,0.047614286,0.057614286,0.043614286,0.044614286
44,0.853114286,0.049114286,0.052114286,0.042114286,0.045114286
44.5,0.851885714,0.046885714,0.054885714,0.042885714,0.045885714
45,0.857557143,0.047557143,0.057557143,0.043557143,0.045557143
45.5,0.8642,0.0482,0.0632,0.0432,0.0442
46,0.866128571,0.049128571,0.062128571,0.043128571,0.045128571
46.5,0.866228571,0.049228571,0.061228571,0.043228571,0.045228571
47,0.862842857,0.049842857,0.062842857,0.042842857,0.044842857
47.5,0.866585714,0.050585714,0.063585714,0.042585714,0.045585714
48,0.869571429,0.050571429,0.062571429,0.042571429,0.044571429
48.5,0.876485714,0.052485714,0.062485714,0.042485714,0.045485714
49,0.890214286,0.052214286,0.062214286,0.043214286,0.044214286
49.5,0.8862,0.0512,0.0612,0.0442,0.0452
50,0.883385714,0.051385714,0.061385714,0.043385714,0.044385714
50.5,0.885228571,0.051228571,0.062228571,0.047228571,0.048228571
51,0.897614286,0.052614286,0.057614286,0.043614286,0.046614286
51.5,0.902042857,0.053042857,0.061042857,0.044042857,0.045042857
52,0.894428571,0.053428571,0.063428571,0.044428571,0.045428571
52.5,0.891571429,0.052571429,0.061571429,0.044571429,0.045571429
53,0.897257143,0.054257143,0.063257143,0.047257143,0.051257143
53.5,0.902385714,0.055385714,0.058385714,0.046385714,0.050385714
54,0.904142857,0.056142857,0.062142857,0.045142857,0.047142857
54.5,0.909385714,0.055385714,0.056385714,0.044385714,0.046385714
55,0.910142857,0.056142857,0.058142857,0.048142857,0.052142857
55.5,0.9175,0.0555,0.0615,0.0435,0.0475
56,0.917242857,0.057242857,0.059242857,0.044242857,0.047242857
56.5,0.911914286,0.058914286,0.059914286,0.043914286,0.046914286
57,0.919542857,0.058542857,0.062542857,0.042542857,0.047542857
57.5,0.903485714,0.057485714,0.061485714,0.043485714,0.046485714
58,0.930042857,0.060042857,0.062042857,0.044042857,0.047042857
58.5,0.929328571,0.059328571,0.064328571,0.045328571,0.048328571
59,0.930085714,0.061085714,0.062085714,0.045085714,0.048085714
59.5,0.929957143,0.061957143,0.058957143,0.044957143,0.047957143
60,0.9235,0.0625,0.0615,0.0455,0.0495
60.5,0.923542857,0.064542857,0.063542857,0.044542857,0.048542857
61,0.920585714,0.064585714,0.063585714,0.045585714,0.049585714
61.5,0.936057143,0.068057143,0.061057143,0.045057143,0.049057143
62,0.945428571,0.067428571,0.063428571,0.044428571,0.050428571
62.5,0.943314286,0.069314286,0.061314286,0.044314286,0.049314286
63,0.935157143,0.070157143,0.060157143,0.044157143,0.049157143
63.5,0.949157143,0.071157143,0.066157143,0.050157143,0.055157143
64,0.944842857,0.072842857,0.065842857,0.048842857,0.054842857
64.5,0.938257143,0.075257143,0.065257143,0.044257143,0.048257143
65,0.927514286,0.078514286,0.062514286,0.044514286,0.048514286
65.5,0.942,0.081,0.064,0.045,0.048
66,0.938457143,0.083457143,0.064457143,0.047457143,0.055457143
66.5,0.946857143,0.086857143,0.060857143,0.041857143,0.047857143
67,0.934342857,0.089342857,0.059342857,0.043342857,0.046342857
67.5,0.941742857,0.092742857,0.057742857,0.043742857,0.046742857
68,0.936928571,0.093928571,0.057928571,0.042928571,0.047928571
68.5,0.932271429,0.098271429,0.057271429,0.042271429,0.047271429
69,0.940357143,0.099357143,0.057357143,0.041357143,0.048357143
69.5,0.9497,0.1057,0.0577,0.0457,0.0527
70,0.9437,0.1087,0.0587,0.0467,0.0537
70.5,0.961242857,0.113242857,0.056242857,0.043242857,0.048242857
71,0.955971429,0.116971429,0.057971429,0.041971429,0.046971429
71.5,0.945814286,0.123814286,0.059814286,0.042814286,0.048814286
72,0.9524,0.1304,0.0564,0.0464,0.0554
72.5,0.955885714,0.136885714,0.057885714,0.042885714,0.049885714
73,0.954828571,0.142828571,0.056828571,0.042828571,0.047828571
73.5,0.950528571,0.145528571,0.055528571,0.043528571,0.047528571
74,0.965585714,0.154585714,0.055585714,0.041585714,0.049585714
74.5,0.942557143,0.161557143,0.055557143,0.042557143,0.048557143
75,0.9584,0.1624,0.0574,0.0444,0.0484
75.5,0.967057143,0.170057143,0.059057143,0.043057143,0.050057143
76,0.957357143,0.185357143,0.054357143,0.038357143,0.045357143
76.5,0.953185714,0.189185714,0.057185714,0.040185714,0.047185714
77,0.947471429,0.194471429,0.057471429,0.041471429,0.049471429
77.5,0.971528571,0.199528571,0.058528571,0.041528571,0.049528571
78,0.964842857,0.211842857,0.055842857,0.040842857,0.049842857
78.5,0.972314286,0.214314286,0.059314286,0.042314286,0.050314286
79,0.949414286,0.226414286,0.055414286,0.040414286,0.047414286
79.5,0.975457143,0.230457143,0.057457143,0.041457143,0.050457143
80,0.968657143,0.238657143,0.056657143,0.040657143,0.048657143
80.5,0.972514286,0.244514286,0.054514286,0.040514286,0.049514286
81,0.970142857,0.253142857,0.062142857,0.042142857,0.050142857
81.5,0.973085714,0.255085714,0.063085714,0.040085714,0.050085714
82,0.9549,0.2629,0.0669,0.0409,0.0499
82.5,0.9702,0.2682,0.0712,0.0402,0.0492
83,0.954585714,0.271585714,0.078585714,0.040585714,0.049585714
